ds,y
2/13/2017,33.32249832
2/14/2017,33.75500107
2/15/2017,33.87749863
2/16/2017,33.83750153
2/17/2017,33.93000031
2/21/2017,34.17499924
2/22/2017,34.27750015
2/23/2017,34.13249969
2/24/2017,34.16500092
2/27/2017,34.23249817
2/28/2017,34.24750137
3/1/2017,34.94749832
3/2/2017,34.74000168
3/3/2017,34.94499969
3/6/2017,34.83499908
3/7/2017,34.88000107
3/8/2017,34.75
3/9/2017,34.66999817
3/10/2017,34.78499985
3/13/2017,34.79999924
3/14/2017,34.74750137
3/15/2017,35.11500168
3/16/2017,35.17250061
3/17/2017,34.99750137
3/20/2017,35.36500168
3/21/2017,34.95999908
3/22/2017,35.35499954
3/23/2017,35.22999954
3/24/2017,35.15999985
3/27/2017,35.22000122
3/28/2017,35.95000076
3/29/2017,36.02999878
3/30/2017,35.98249817
3/31/2017,35.91500092
4/3/2017,35.92499924
4/4/2017,36.19250107
4/5/2017,36.00500107
4/6/2017,35.91500092
4/7/2017,35.83499908
4/10/2017,35.79249954
4/11/2017,35.40750122
4/12/2017,35.45000076
4/13/2017,35.26250076
4/17/2017,35.45750046
4/18/2017,35.29999924
4/19/2017,35.16999817
4/20/2017,35.61000061
4/21/2017,35.56750107
4/24/2017,35.90999985
4/25/2017,36.13249969
4/26/2017,35.91999817
4/27/2017,35.94749832
4/28/2017,35.91249847
5/1/2017,36.64500046
5/2/2017,36.87749863
5/3/2017,36.76499939
5/4/2017,36.63249969
5/5/2017,37.24000168
5/8/2017,38.25249863
5/9/2017,38.49750137
5/10/2017,38.31499863
5/11/2017,38.48749924
5/12/2017,39.02500153
5/15/2017,38.92499924
5/16/2017,38.86750031
5/17/2017,37.5625
5/18/2017,38.13499832
5/19/2017,38.26499939
5/22/2017,38.49750137
5/23/2017,38.45000076
5/24/2017,38.33499908
5/25/2017,38.46749878
5/26/2017,38.40250015
5/30/2017,38.41749954
5/31/2017,38.18999863
6/1/2017,38.29499817
6/2/2017,38.86249924
6/5/2017,38.48249817
6/6/2017,38.61249924
6/7/2017,38.84249878
6/8/2017,38.74750137
6/9/2017,37.24499893
6/12/2017,36.35499954
6/13/2017,36.64749908
6/14/2017,36.29000092
6/15/2017,36.07249832
6/16/2017,35.56750107
6/19/2017,36.58499908
6/20/2017,36.25249863
6/21/2017,36.46749878
6/22/2017,36.40750122
6/23/2017,36.56999969
6/26/2017,36.45500183
6/27/2017,35.93249893
6/28/2017,36.45750046
6/29/2017,35.91999817
6/30/2017,36.00500107
7/3/2017,35.875
7/5/2017,36.02249908
7/6/2017,35.68249893
7/7/2017,36.04499817
7/10/2017,36.26499939
7/11/2017,36.38249969
7/12/2017,36.43500137
7/13/2017,36.94250107
7/14/2017,37.25999832
7/17/2017,37.38999939
7/18/2017,37.52000046
7/19/2017,37.75500107
7/20/2017,37.58499908
7/21/2017,37.56750107
7/24/2017,38.02249908
7/25/2017,38.18500137
7/26/2017,38.36500168
7/27/2017,37.63999939
7/28/2017,37.375
7/31/2017,37.18249893
8/1/2017,37.51250076
8/2/2017,39.28499985
8/3/2017,38.89250183
8/4/2017,39.09749985
8/7/2017,39.70249939
8/8/2017,40.02000046
8/9/2017,40.26499939
8/10/2017,38.83000183
8/11/2017,39.36999893
8/14/2017,39.96250153
8/15/2017,40.40000153
8/16/2017,40.23749924
8/17/2017,39.46500015
8/18/2017,39.375
8/21/2017,39.30250168
8/22/2017,39.94499969
8/23/2017,39.99499893
8/24/2017,39.81750107
8/25/2017,39.96500015
8/28/2017,40.36750031
8/29/2017,40.72750092
8/30/2017,40.83750153
8/31/2017,41
9/1/2017,41.01250076
9/5/2017,40.52000046
9/6/2017,40.47750092
9/7/2017,40.31499863
9/8/2017,39.65750122
9/11/2017,40.375
9/12/2017,40.21500015
9/13/2017,39.91249847
9/14/2017,39.56999969
9/15/2017,39.97000122
9/18/2017,39.66749954
9/19/2017,39.68249893
9/20/2017,39.01750183
9/21/2017,38.34749985
9/22/2017,37.97249985
9/25/2017,37.63750076
9/26/2017,38.28499985
9/27/2017,38.55749893
9/28/2017,38.31999969
9/29/2017,38.52999878
10/2/2017,38.45249939
10/3/2017,38.61999893
10/4/2017,38.36999893
10/5/2017,38.84749985
10/6/2017,38.82500076
10/9/2017,38.95999908
10/10/2017,38.97499847
10/11/2017,39.13750076
10/12/2017,39
10/13/2017,39.24750137
10/16/2017,39.97000122
10/17/2017,40.11750031
10/18/2017,39.93999863
10/19/2017,38.99499893
10/20/2017,39.0625
10/23/2017,39.04249954
10/24/2017,39.27500153
10/25/2017,39.10250092
10/26/2017,39.35250092
10/27/2017,40.76250076
10/30/2017,41.68000031
10/31/2017,42.25999832
11/1/2017,41.72249985
11/2/2017,42.02750015
11/3/2017,43.125
11/6/2017,43.5625
11/7/2017,43.70249939
11/8/2017,44.06000137
11/9/2017,43.97000122
11/10/2017,43.66749954
11/13/2017,43.49250031
11/14/2017,42.83499908
11/15/2017,42.27000046
11/16/2017,42.77500153
11/17/2017,42.53749847
11/20/2017,42.49499893
11/21/2017,43.28499985
11/22/2017,43.74000168
11/24/2017,43.74250031
11/27/2017,43.52249908
11/28/2017,43.26750183
11/29/2017,42.36999893
11/30/2017,42.96250153
12/1/2017,42.76250076
12/4/2017,42.45000076
12/5/2017,42.40999985
12/6/2017,42.25249863
12/7/2017,42.33000183
12/8/2017,42.34249878
12/11/2017,43.16749954
12/12/2017,42.92499924
12/13/2017,43.06750107
12/14/2017,43.05500031
12/15/2017,43.49250031
12/18/2017,44.10499954
12/19/2017,43.63499832
12/20/2017,43.58750153
12/21/2017,43.75249863
12/22/2017,43.75249863
12/26/2017,42.64250183
12/27/2017,42.65000153
12/28/2017,42.77000046
12/29/2017,42.30749893
1/2/2018,43.06499863
1/3/2018,43.05749893
1/4/2018,43.25749969
1/5/2018,43.75
1/8/2018,43.58750153
1/9/2018,43.58250046
1/10/2018,43.57249832
1/11/2018,43.81999969
1/12/2018,44.27249908
1/16/2018,44.04750061
1/17/2018,44.77500153
1/18/2018,44.81499863
1/19/2018,44.61500168
1/22/2018,44.25
1/23/2018,44.25999832
1/24/2018,43.55500031
1/25/2018,42.77750015
1/26/2018,42.87749863
1/29/2018,41.99000168
1/30/2018,41.74250031
1/31/2018,41.85749817
2/1/2018,41.94499969
2/2/2018,40.125
2/5/2018,39.12250137
2/6/2018,40.75749969
2/7/2018,39.88499832
2/8/2018,38.78749847
2/9/2018,39.10250092
2/12/2018,40.67750168
2/13/2018,41.08499908
2/14/2018,41.84249878
2/15/2018,43.24750137
2/16/2018,43.10749817
2/20/2018,42.96250153
2/21/2018,42.76750183
2/22/2018,43.125
2/23/2018,43.875
2/26/2018,44.74250031
2/27/2018,44.59749985
2/28/2018,44.52999878
3/1/2018,43.75
3/2/2018,44.05250168
3/5/2018,44.20500183
3/6/2018,44.16749954
3/7/2018,43.75749969
3/8/2018,44.23500061
3/9/2018,44.99499893
3/12/2018,45.43000031
3/13/2018,44.99250031
3/14/2018,44.61000061
3/15/2018,44.66249847
3/16/2018,44.50500107
3/19/2018,43.82500076
3/20/2018,43.81000137
3/21/2018,42.81750107
3/22/2018,42.21250153
3/23/2018,41.23500061
3/26/2018,43.19250107
3/27/2018,42.08499908
3/28/2018,41.61999893
3/29/2018,41.94499969
4/2/2018,41.66999817
4/3/2018,42.09749985
4/4/2018,42.90250015
4/5/2018,43.20000076
4/6/2018,42.09500122
4/9/2018,42.51250076
4/10/2018,43.3125
4/11/2018,43.11000061
4/12/2018,43.53499985
4/13/2018,43.68249893
4/16/2018,43.95500183
4/17/2018,44.56000137
4/18/2018,44.45999908
4/19/2018,43.20000076
4/20/2018,41.43000031
